caseid,casenum,cohort,schoolid,rural,gender,math_07,math_08,math_09,math_10,math_11,math_12,mothed,fathed
1,3819,2,101,0,0,70.05,69.23,71.07,78.52,81.66,78.77,2,2
2,5881,2,101,0,0,59.36,65.2,68.92,72.06,70,75.05,2,2
3,1435,2,101,0,1,68.47,69.31,76.32,79.89,80.57,NA,3,4
4,5278,2,101,0,1,61.66,66.08,71.02,70,82.12,90.01,2,2
5,6693,2,101,0,1,69.87,65.75,70.11,74.47,76.04,80.02,2,4
6,4294,2,101,0,1,64.22,63.88,59.37,61.9,78.31,79.07,2,2
7,1194,2,101,0,1,57.04,59.93,63.68,67.42,NA,NA,2,2
8,5682,2,101,0,1,60.13,62.04,66.54,69.46,72.38,84.56,4,5
9,6485,2,101,0,0,60.66,64.14,68.15,72.15,NA,NA,2,2
10,4938,2,101,0,0,71.66,70.5,80.25,86.79,NA,NA,3,4
11,2630,2,101,0,1,59.61,56.93,60.27,64.52,66.64,69.56,3,2
12,6080,2,101,0,1,55.06,48.32,63.48,63.96,65.59,75.09,3,2
13,1730,2,101,0,1,61.99,63.86,63.75,62.71,66.48,69.11,2,1
14,5280,2,101,0,1,60.09,62.21,56.01,63.67,67.68,69.66,2,3
15,2204,2,101,0,1,58.98,60.26,63.02,65.77,NA,NA,2,3
16,6715,2,101,0,1,57.98,60.38,64.33,68.85,81.31,78.24,2,1
17,1442,2,101,0,1,47.5,63.41,64.84,67.74,NA,NA,2,2
18,6821,2,101,0,0,47.49,54.07,55.2,56.32,70.29,68.27,3,2
19,2041,2,101,0,0,55.03,57.01,59.9,54.26,64.47,68.9,1,1
20,4888,2,101,0,0,66.3,63.01,79.41,82.49,86.97,91.44,2,2
21,3329,2,101,0,0,51.44,55.23,55.74,62.68,62.58,60.98,2,2
22,1915,2,101,0,1,55.65,61.37,66.99,70.3,73.61,84.05,2,2
23,4768,2,101,0,1,56.52,54.53,47.11,54.4,54.7,56.16,2,2
24,6611,2,101,0,1,50.04,57.37,56.93,59.64,62.34,66.01,2,2
25,6800,2,101,0,1,50.1,50.22,46.39,55.21,60.35,59.19,1,4
26,1840,2,101,0,0,43.43,45.33,54.61,52,56.9,56.9,2,2
27,6469,2,101,0,0,46.64,51.8,57.17,54.22,62.72,61.16,1,2
28,6115,2,101,0,1,40.12,51.42,59.13,63.03,65.49,NA,5,2
29,5593,2,101,0,1,39.13,47.94,42.66,48.77,54.88,48.5,2,5
30,3803,2,101,0,1,55.69,58.75,64.7,64.37,64.03,64.75,2,1
31,4168,2,101,0,0,47.3,47.04,41.56,36.89,58.45,57.4,2,NA
32,4607,2,101,0,0,43.58,44.94,49.78,52.92,52.67,51.8,2,2
33,4618,2,101,0,0,49.28,48.62,40.04,31.45,NA,NA,2,2
34,3299,2,101,0,1,51.41,52.39,53.37,56.39,59.41,NA,1,5
35,5374,2,101,0,1,44.11,49.91,53.66,NA,NA,NA,2,4
36,3746,2,101,0,0,48.8,52.94,54.79,59.44,64.08,NA,2,1
37,5353,2,101,0,0,51.78,51.86,57.43,62.25,61.98,63.93,2,2
38,4533,2,101,0,0,47.81,53.42,47.3,43.23,38.16,NA,NA,1
39,2417,2,101,0,1,49.73,56.37,55.66,61.09,63.82,67.63,2,NA
40,6901,2,101,0,1,47.33,52.56,53.59,54.61,51.13,53.59,3,4
41,3616,2,101,0,0,40.39,NA,NA,NA,NA,NA,2,1
42,3094,2,101,0,0,42.58,45.31,44.47,46.75,NA,NA,2,1
43,1378,2,101,0,0,33,39.18,36.14,37.86,42.81,39.14,2,1
44,2063,2,101,0,1,37.63,38.93,49.24,38.83,55.51,47.27,2,4
45,4582,2,101,0,0,48.03,50.04,57.76,61.65,NA,NA,2,2
46,6062,2,101,0,0,42.98,50.79,NA,NA,NA,NA,2,3
47,1976,2,101,0,0,48.33,44.92,46.36,46.61,NA,NA,1,1
48,4092,2,101,0,1,42.11,42.22,49.25,NA,NA,NA,5,2
49,2319,2,101,0,0,36.17,34.9,39.81,42.47,NA,NA,2,5
50,1721,2,101,0,0,48.05,NA,NA,NA,NA,NA,NA,NA
51,3996,2,101,0,0,44.19,36.02,43.03,NA,NA,NA,2,NA
52,4754,2,101,0,1,31.14,31.91,NA,NA,NA,NA,1,2
53,3585,2,101,0,0,38.34,34.93,35.7,36.46,NA,NA,2,NA
54,2784,2,101,0,0,36.78,NA,NA,NA,NA,NA,1,NA
55,4039,2,101,0,0,31.52,39.15,41.4,43.36,NA,NA,1,2
56,5373,2,101,0,1,67.35,71.89,71.13,78.21,72.21,76.36,5,5
57,1033,2,101,0,0,44.24,40.36,52.19,45.14,50.34,52.57,2,2
58,2418,2,101,0,0,43.59,36.49,43.02,47.16,48.88,27.01,1,2
59,5318,2,101,0,1,NA,NA,NA,NA,NA,NA,2,2
60,1794,2,101,0,0,48.83,57.38,54.11,53.98,61.07,62.6,NA,NA
61,2212,2,101,0,0,40.21,40.78,45.55,48.45,NA,NA,2,1
62,1324,2,102,0,0,42.71,45.07,49.59,52.61,NA,NA,2,5
63,1681,2,102,0,0,33.85,37.62,36.8,35.97,NA,NA,2,2
64,4916,2,102,0,1,49.85,50.51,51.16,NA,NA,NA,1,1
65,2310,2,102,0,1,52.57,45.52,48,55.21,58.62,56.85,NA,2
66,1382,2,102,0,0,35.06,42,40.32,48.05,NA,NA,2,2
67,1497,2,102,0,0,49.09,56.01,59.88,63.23,NA,NA,2,1
68,4615,2,102,0,1,49.83,48.16,51.63,51.28,57.18,55.24,2,2
69,1614,2,102,0,0,35.98,42.85,36.58,31.86,39.48,45.49,2,4
70,1577,2,102,0,1,37.6,52.8,44.11,52.38,54.33,NA,1,2
71,1656,2,102,0,1,46.66,52.68,56.58,59.78,NA,NA,2,1
72,1791,2,102,0,0,42.43,30.72,34.76,NA,NA,NA,2,1
73,5650,2,102,0,1,46.79,56.04,56.12,59.77,63.01,62.87,1,5
74,2407,2,102,0,1,57.68,61.75,67.05,73.21,NA,NA,2,4
75,4924,2,102,0,0,57.58,60.73,71.49,71.65,NA,NA,1,2
76,2109,2,102,0,0,42.12,44.83,42.38,46.01,NA,NA,1,1
77,2396,2,102,0,0,44.21,44.67,49.8,53.01,NA,NA,1,1
78,1301,2,102,0,1,46.59,47.85,49.1,NA,NA,NA,NA,NA
79,4853,2,102,0,1,36.78,40.61,42.06,43.51,52.07,50.27,1,NA
80,2834,2,102,0,1,44.06,41.73,36.6,39.89,33.44,36.18,1,3
81,1774,2,102,0,0,34.74,37.22,36.47,35.72,NA,NA,2,3
82,3830,2,102,0,0,36.86,43.07,42.74,57.5,57.77,61.36,2,2
83,6426,2,102,0,0,34.65,39.87,39.49,45.48,47.12,NA,1,NA
84,5401,2,102,0,1,57.84,60.34,NA,NA,NA,NA,2,1
85,6085,2,102,0,0,41.62,36.94,41.96,46.97,NA,NA,2,3
86,2132,2,102,0,1,35.41,36.98,32.96,48.57,42.91,37.24,2,2
87,4309,2,102,0,1,36.27,42.86,NA,NA,NA,NA,1,2
88,2561,2,102,0,1,32.04,45.23,46.69,52.22,54.17,51.34,2,4
89,1259,2,102,0,0,34.72,31.22,36.58,39.21,NA,NA,2,4
90,3882,2,102,0,1,60.08,66.56,77.27,82.14,83.55,79.43,2,2
91,5023,2,102,0,0,41.88,NA,NA,NA,NA,NA,2,2
92,6809,2,102,0,0,42.35,34.84,37.95,42.99,44.51,NA,NA,1
93,3782,2,102,0,0,41.94,54.15,56.08,58.68,NA,NA,2,2
94,3046,2,102,0,0,33.67,48.73,NA,NA,NA,NA,1,NA
95,1521,2,102,0,0,41.28,38.6,45.32,43.78,NA,NA,1,4
96,3345,2,102,0,0,38.45,37.46,37.48,37.49,41.51,41.26,2,4
97,4501,2,102,0,1,39.9,60.29,68.61,72.61,76.61,80.4,2,NA
98,1908,2,102,0,0,43.38,33.89,38.04,NA,NA,NA,2,2
99,1024,2,102,0,0,39.06,42.48,44.42,49.81,51.65,NA,3,2
100,2651,2,102,0,1,37.75,35.46,46.25,49.83,38.38,42.71,2,1
101,5819,2,102,0,0,40.29,38.85,43.73,48.71,51.59,51.02,1,2
102,6402,2,102,0,0,48.49,50.43,55.53,NA,NA,NA,2,NA
103,5031,2,102,0,0,55.28,61.26,67.37,73.48,79.81,80.76,3,NA
104,1300,2,102,0,0,34.16,37.64,NA,NA,NA,NA,2,NA
105,3409,2,102,0,0,41.37,47.65,51.05,53.83,NA,NA,2,1
106,5201,2,102,0,0,46.34,41.65,48.27,51.84,NA,NA,2,NA
107,4626,2,102,0,0,54.19,64.56,70.19,70.91,71.62,NA,1,1
108,5326,2,102,0,0,47.01,41.57,53.94,56.54,58.71,NA,1,1
109,5866,2,102,0,0,NA,NA,NA,NA,NA,NA,NA,NA
110,1697,2,102,0,0,54.29,58.5,56.97,55.44,64.57,67.69,2,2
111,5941,2,102,0,0,46.61,44.9,45.31,NA,NA,NA,1,1
112,2941,2,102,0,0,37.54,32.43,NA,NA,NA,NA,1,2
113,3043,2,102,0,1,36.72,33.32,NA,NA,NA,NA,2,NA
114,5961,2,102,0,0,40.86,38.42,44.02,NA,NA,NA,1,2
115,3134,2,102,0,0,35.29,37.58,56.55,59.73,63.09,62.98,2,NA
116,6731,2,102,0,0,38.41,39.09,45.73,52.36,NA,NA,2,1
117,5645,2,102,0,0,35.87,52.49,56.19,61.16,63.53,NA,NA,NA
118,3823,2,102,0,0,47.51,55.21,62.91,63.95,73.25,NA,1,2
119,1397,2,102,0,1,43.04,42.87,44.98,40.74,55.75,51.39,5,NA
120,5789,2,102,0,0,47.89,57.06,57.99,58.92,54.91,57.69,1,1
121,5865,2,102,0,1,34.91,37.25,NA,NA,NA,NA,1,2
122,6316,2,102,0,1,53.79,56.25,61.65,69.14,NA,NA,2,NA
123,6140,2,103,0,0,30.2,48.66,NA,NA,NA,NA,1,1
124,4289,2,103,0,0,47.66,54.85,58.53,NA,NA,NA,1,1
125,1762,2,103,0,0,52.62,60.19,61.76,63.33,66.54,69.74,2,1
126,2420,2,103,0,1,39.02,39.21,40.79,NA,NA,NA,1,1
127,5179,2,103,0,1,41,51.9,56.33,60.76,NA,NA,2,1
128,3630,2,103,0,0,42.11,39.67,48.34,57.01,56.35,55.69,1,2
129,6606,2,103,0,1,42.45,41.31,42.26,47.91,49.66,NA,1,2
130,1199,2,103,0,0,31.07,38.5,40.76,NA,NA,NA,1,2
131,3107,2,103,0,1,38.65,46.97,50.5,48.77,43.07,45.91,2,NA
132,4053,2,103,0,1,43.28,44.02,51.66,51.34,55.63,55.47,2,1
133,5249,2,103,0,1,42.96,43.8,47.99,52.17,NA,NA,4,1
134,6590,2,103,0,1,48.63,50.34,49.4,48.46,NA,NA,2,2
135,2458,2,103,0,0,45.88,37.79,45.25,48.91,NA,NA,3,2
136,6473,2,103,0,1,30.47,43.99,44.64,NA,NA,NA,1,NA
137,5396,2,103,0,0,38.72,NA,NA,NA,NA,NA,1,2
138,1642,2,103,0,1,38.08,35.92,41.32,45.75,47.41,NA,1,1
139,1331,2,103,0,1,47.71,51.73,NA,NA,NA,NA,3,4
140,6835,2,103,0,1,38.18,33.4,NA,NA,NA,NA,1,1
141,3265,2,103,0,0,28.46,35.57,38.89,45.47,47.92,47.16,1,1
142,5093,2,103,0,0,52.71,53.99,51.54,66.11,71.5,70.27,NA,NA
143,6152,2,103,0,1,55.02,NA,NA,NA,NA,NA,NA,NA
144,5282,2,103,0,1,30.4,32.43,30.41,36.99,37.17,37.9,4,5
145,1859,2,103,0,1,40.44,41.59,37.35,NA,NA,NA,1,NA
146,3416,2,103,0,0,43.99,NA,NA,NA,NA,NA,3,4
147,1419,2,103,0,1,40.31,43.62,46.99,50.36,NA,NA,2,2
148,6229,2,103,0,0,38.89,39.81,44.35,48.88,43.15,37.41,2,2
149,3037,2,103,0,1,41.34,42.16,NA,NA,NA,NA,1,2
150,4715,2,103,0,0,46.26,48.89,53.63,56.92,NA,NA,2,2
151,3690,2,103,0,0,46.2,NA,NA,NA,NA,NA,1,1
152,4817,2,103,0,0,44.53,NA,NA,NA,NA,NA,2,1
153,4591,2,103,0,1,51,52.08,54.81,57.65,61.1,60.94,2,2
154,5469,2,103,0,0,40.47,37.96,43.54,46.58,NA,NA,2,3
155,1116,2,103,0,0,51.49,52.85,54.21,63.08,64.92,64.57,NA,NA
156,5700,2,103,0,0,46.71,47.18,52.51,55.92,NA,NA,2,2
157,6690,2,103,0,0,38.14,NA,NA,NA,NA,NA,2,3
158,2580,2,103,0,1,39.2,42.91,46.4,43.82,48.72,48.45,2,NA
159,1672,2,103,0,0,35.53,45.91,47.78,NA,NA,NA,2,2
160,3992,2,103,0,0,47.63,46.5,45.36,46.76,47.35,48.4,2,2
161,4067,2,103,0,0,33.44,36.83,40.32,42.6,NA,NA,2,4
162,6537,2,103,0,0,35.92,31.13,NA,NA,NA,NA,1,NA
163,1693,2,103,0,1,41.45,NA,NA,NA,NA,NA,2,2
164,5135,2,103,0,1,35.61,37.46,NA,NA,NA,NA,1,1
165,2322,2,103,0,0,45.06,42.55,47.59,NA,NA,NA,2,1
166,6256,2,103,0,0,38.41,44.92,48.02,NA,NA,NA,2,2
167,2007,2,103,0,1,33.6,NA,NA,44.29,43.33,NA,2,NA
168,5248,2,103,0,1,35.03,48.16,46.16,53.47,55.73,55.17,1,1
169,2085,2,103,0,1,42.17,42.84,48.49,54.13,NA,NA,1,1
170,3694,2,103,0,0,34.37,41.92,42.18,NA,NA,NA,2,NA
171,5325,2,103,0,1,39.93,50.22,43.73,44.57,48.55,48.11,2,3
172,3209,2,103,0,0,39.35,44.59,33.46,36.52,39.91,39.08,2,2
173,3309,2,103,0,0,44.16,44.4,44.63,52.55,60.47,NA,2,2
174,6417,2,103,0,1,43.56,44.46,49.42,52.57,NA,NA,2,4
175,4945,2,103,0,1,41.08,41.28,46.22,49.2,NA,NA,1,1
176,6013,2,103,0,1,32.71,48.86,44.33,NA,NA,NA,1,2
177,4347,2,103,0,0,33.26,33.03,37.51,41.99,52.02,45.78,2,4
178,6597,2,103,0,0,51.42,56.34,61.25,65.46,70.42,NA,2,1
179,4523,2,103,0,0,47.42,47.72,53.15,56.62,53.02,NA,3,2
180,3362,2,103,0,1,41.94,46.43,50.34,53.23,NA,NA,2,2
181,5919,2,103,0,0,43.61,54.01,57.18,60.35,NA,NA,1,4
182,2250,2,104,0,1,68.15,65,84.05,89.89,90.4,91.3,2,2
183,1685,2,104,0,1,62.13,65.96,70.41,76.57,87.75,87.34,4,4
184,6744,2,104,0,1,63.53,66.76,68.51,76.12,76.87,79.16,2,2
185,3048,2,104,0,0,62.86,55.31,72.04,73.55,77.25,NA,4,4
186,5303,2,104,0,0,38.93,37.93,49.18,52.06,54.02,47.39,2,2
187,4491,2,104,0,1,58.21,61.7,70.1,70.89,72.73,74.51,3,2
188,5202,2,104,0,1,59.35,67.83,69.02,80.96,82.83,93.3,2,3
189,3171,2,104,0,0,46.69,56.64,66.29,72.37,74.96,75.07,2,3
190,2266,2,104,0,0,59.66,61.2,62.74,73.01,74.48,74.36,2,2
191,2534,2,104,0,0,69.87,70.9,77.43,81.74,84.32,NA,4,4
192,5595,2,104,0,0,41.81,39.32,36.83,NA,NA,NA,2,NA
193,2158,2,104,0,0,64.76,60.66,59.04,75.8,75.54,75.12,2,4
194,1780,2,104,0,0,39.69,36.13,48.46,51.05,52.96,NA,2,4
195,6727,2,104,0,1,55.17,51.62,63.84,64.78,68.66,69.64,2,2
196,5719,2,104,0,0,58.23,64.08,75.62,68.88,71.14,78.95,3,5
197,2914,2,104,0,0,48.12,56.78,65.44,NA,NA,NA,5,4
198,6414,2,104,0,1,54.6,48.26,58.09,61.4,63.8,NA,2,2
199,3988,2,104,0,1,54.41,54.43,69.38,71.36,75.44,NA,2,2
200,2192,2,104,0,0,75.93,74.52,84.63,93.14,95.08,96.16,4,4
201,1289,2,104,0,0,62.01,67.57,92.08,95.26,98.62,99.79,4,4
202,1462,2,104,0,0,38.07,34.34,40.04,42.93,NA,NA,1,2
203,3985,2,104,0,0,53.21,64.53,75.85,NA,NA,NA,3,3
204,2652,2,104,0,1,53.06,60.88,64.28,65.84,70.51,71.33,2,5
205,2227,2,104,0,0,46.49,52.85,51.78,44.57,50.7,50.74,5,4
206,5521,2,104,0,1,53.94,59.15,66.38,62.47,75.28,64.48,2,2
207,5895,2,104,0,0,59.79,54.03,66.59,74.51,79.11,80.33,2,2
208,2321,2,104,0,1,42.23,47.15,52.96,59.33,55.62,45.5,5,5
209,3597,2,104,0,1,53.12,53.57,49.22,44.93,37.63,40.66,2,NA
210,6091,2,104,0,1,60.53,63.31,72.11,76.28,80.44,NA,2,4
211,3442,2,104,0,1,62.03,57.83,61.41,63.49,71.84,71.6,3,2
212,1071,2,104,0,1,53.24,48.98,64.62,73.3,73.82,79.79,2,NA
213,1452,2,104,0,1,71.91,77.78,76.49,88.87,97.39,91.45,4,4
214,1330,2,104,0,1,44.37,48.2,50.03,56.45,59.38,84.54,1,2
215,2051,2,104,0,1,60.99,62.28,62.78,69.96,72.25,72.22,2,4
216,1235,2,104,0,0,40.08,34.07,56.72,56.55,58.73,56.13,4,4
217,2682,2,104,0,0,43.36,NA,NA,NA,NA,NA,5,4
218,4928,2,104,0,1,41.4,48.86,51.96,54.7,47.91,50.3,2,4
219,1429,2,104,0,0,45.2,59.27,60.98,69.23,NA,NA,2,4
220,1686,2,104,0,0,67.51,63.06,73.51,75.57,80.25,81.49,2,3
221,3322,2,104,0,0,66.67,61.99,76.19,85.73,87.39,89.01,2,4
222,1584,2,104,0,0,40.47,36.61,32.75,NA,NA,NA,2,2
223,6164,2,104,0,0,57.42,54.91,61.77,65.09,57.54,61.52,2,2
224,1480,2,104,0,0,60.57,54.94,52.4,52.07,56.37,56.22,3,2
225,4963,2,104,0,1,57.18,59.92,61.54,67.86,70.38,70.34,2,2
226,3207,2,104,0,0,52.08,44.56,37.23,65.12,64.82,64.51,2,4
227,4295,2,104,0,1,73.33,72.92,72.51,74.52,77.87,79.41,2,2
228,6817,2,104,0,1,50.39,45.92,51.64,57.35,NA,NA,2,2
229,4225,2,104,0,1,52.03,56.73,62.53,68.25,71.02,72.44,4,2
230,4124,2,104,0,0,50.78,64.26,74.8,78.34,85.34,87.43,3,3
231,3061,2,104,0,0,67.21,72.58,78.51,82.67,90.03,99.3,2,5
232,6798,2,104,0,0,58.54,72.35,79.97,85.55,88.33,88.62,4,4
233,1250,2,104,0,1,37.11,42.05,42.83,49.15,56.56,55.94,2,2
234,1550,2,104,0,1,48.74,53.88,58.68,53.72,59.25,59.44,2,2
235,3584,2,104,0,1,46.07,46.05,57.96,60.71,63.07,NA,2,4
236,3122,2,104,0,1,42.1,58.44,55.42,55.14,59.42,59.37,4,4
237,2424,2,104,0,1,54.19,65.69,68.1,73.48,77.46,NA,2,2
238,2066,2,104,0,1,62.62,61.36,68.43,71.76,68.28,71.49,2,5
239,2338,2,104,0,1,65.19,74.98,77.85,86.93,90.16,91.4,4,5
240,3656,2,104,0,1,57.9,53.58,58.4,63.21,NA,NA,3,2
241,4674,2,104,0,0,34.89,34.63,39.18,41.7,NA,NA,2,5
242,1095,2,104,0,0,49.6,54.13,75.61,73.7,78.42,81.53,3,2
243,5230,2,104,0,1,55.51,56.23,56.95,70.12,80.69,80.16,2,2
244,4182,2,104,0,1,59.76,61.56,65.68,67.87,63.6,66.84,2,2
245,2471,2,104,0,1,48.43,40.7,53.74,66.77,68.03,69.78,2,2
246,3244,2,104,0,1,58.26,55.31,74.47,75.33,78.39,NA,4,2
247,6546,2,104,0,1,58.55,60.67,62.5,64.02,74.16,73.47,2,5
248,2144,2,104,0,0,77.91,85.09,90.18,89.45,88.71,NA,5,NA
249,1804,2,104,0,1,64.5,60.46,71.32,75.31,83.53,83.84,4,4
250,6000,2,104,0,0,53.6,57.54,71.79,82,86.45,88.03,2,2
251,3455,2,104,0,1,46.34,50.04,54.51,57.77,NA,NA,4,2
252,2677,2,104,0,1,42.69,47.69,54.72,58.04,60.4,61.48,2,4
253,1944,2,104,0,1,73.65,79.13,80.21,83.71,88.35,93.02,2,5
254,3539,2,104,0,0,53.61,58.58,71.25,75.37,79.07,80.56,2,2
255,4337,2,104,0,1,59.15,60.12,61.09,67.5,68.8,70.57,2,2
256,5890,2,105,0,0,64.81,64.41,62.45,71.56,78.18,81.63,3,2
257,3776,2,105,0,0,66.83,77.61,79.28,84.31,89.87,89.21,3,2
258,2598,2,105,0,0,71.56,76.63,83.13,80.8,89.96,89.81,2,2
259,1431,2,105,0,0,74.01,79.27,83.87,85.1,87.61,90.83,2,3
260,6109,2,105,0,0,71.19,76.74,80.27,77.58,95.35,93.26,2,2
261,5448,2,105,0,1,72.35,80.28,79.19,78.1,88.55,87.92,2,2
262,4734,2,105,0,1,61.83,64.48,70.49,74.98,NA,NA,2,3
263,1995,2,105,0,1,71.79,76.85,83.05,85.06,NA,NA,2,NA
264,2014,2,105,0,1,67.21,81.65,73.46,81.43,86.11,87.61,2,5
265,6360,2,105,0,1,67.82,80.43,80.41,80.38,74.13,85.2,1,2
266,4365,2,105,0,1,74.19,84.7,80.45,88.48,88.28,91.36,2,2
267,4163,2,105,0,1,69.51,67.1,74.54,78.66,80.46,82.25,2,2
268,6660,2,105,0,1,63.45,70.31,70.41,77.6,78.27,87.53,1,2
269,2540,2,105,0,0,60.66,67.88,72.62,77.47,NA,NA,4,2
270,5538,2,105,0,1,62.29,66.45,71.6,73.62,74.35,79.59,2,2
271,6432,2,105,0,1,64.54,69.93,69.02,71.86,75.31,78.34,2,2
272,4346,2,105,0,1,49.85,64.49,69.08,71.58,79.09,74.76,2,2
273,5263,2,105,0,0,56.33,62.67,70.4,77.74,80.2,82.8,3,2
274,3470,2,105,0,0,53.34,63.11,66.21,69.3,70.62,71.93,2,2
275,2053,2,105,0,0,42.65,51.24,45.47,59.7,60.12,59.34,2,4
276,4824,2,105,0,0,53.18,61.47,66.21,70.94,87.37,85.52,2,2
277,5670,2,105,0,0,61.01,67.93,72.77,77.05,NA,NA,2,2
278,1705,2,105,0,0,37.21,60.2,58.97,60.81,NA,NA,2,2
279,4051,2,105,0,0,64.99,65.02,73.04,73.96,75.24,77.3,2,2
280,5888,2,105,0,1,62.91,70.06,73.32,70.71,66.73,74.42,4,5
281,5022,2,105,0,1,55.86,64.2,63.73,69.87,72.64,NA,2,2
282,3250,2,105,0,1,61.65,70.99,70.13,69.27,75.42,72.01,2,2
283,2412,2,105,0,1,61.55,65.52,70.57,78.93,80.91,83.12,2,2
284,2106,2,105,0,1,51.41,61.32,66.72,62.17,72.68,71.82,1,3
285,1820,2,105,0,0,57.96,56.96,58.08,59.2,63.89,68.57,2,3
286,3730,2,105,0,0,58.33,62.19,62.82,74.42,77.17,79.91,2,NA
287,3044,2,105,0,1,57.77,57.05,57.45,57.85,65.75,61.64,1,1
288,2977,2,105,0,1,51.54,56.18,60.82,NA,NA,NA,1,2
289,4949,2,105,0,1,54.42,53.5,59.17,63.62,66.11,63.26,2,2
290,1916,2,105,0,0,53.57,65.9,60.91,67.35,73.79,NA,1,3
291,6807,2,105,0,0,55.85,54.29,56.59,67.67,57.62,NA,1,1
292,1404,2,105,0,0,38.57,NA,NA,NA,NA,NA,3,2
293,1864,2,105,0,1,40.16,43.82,47.79,50.58,NA,57.77,3,2
294,1436,2,105,0,1,46.52,52.25,49.05,55.86,57.97,NA,2,2
295,5857,2,105,0,1,49.19,47.28,45.49,51.9,53.83,NA,1,2
296,3885,2,105,0,1,40.99,57.58,52.85,54.86,58.41,NA,2,2
297,5886,2,105,0,1,42.41,52.22,44.99,42.83,38.19,40.44,2,3
298,1526,2,105,0,0,49.57,47.11,55.24,51,56.98,62.96,2,1
299,6905,2,105,0,0,50.46,54.62,59.31,62.87,59.65,47.85,2,2
300,3018,2,105,0,0,59.11,65.43,69.08,74.87,74.47,74.06,4,2
301,6311,2,105,0,0,41.92,44.05,46.18,48.18,61.59,NA,3,2
302,2815,2,105,0,0,47.46,49.96,50.4,56.23,58.36,NA,3,4
303,3577,2,105,0,0,47.8,53.76,59.71,NA,NA,NA,3,2
304,5723,2,105,0,1,33.83,41.04,33.39,41.33,42.76,NA,2,1
305,3844,2,105,0,1,54.66,59.05,51.73,59.67,61.96,NA,5,1
306,1381,2,105,0,1,45.42,43,42.81,NA,NA,NA,1,5
307,5618,2,105,0,0,81.21,81.58,85.84,95.26,88.98,93.94,2,2
308,4900,2,105,0,0,73.17,77.81,82.28,86.75,80.57,85.14,1,2
309,2573,2,105,0,1,56.4,63.54,72.35,73.27,77.23,80.24,2,4
310,4030,2,105,0,1,70.89,74.1,71.92,82.28,83.73,85.58,2,5
311,2732,2,105,0,1,61.87,67.12,79.27,88.53,90.27,90.69,2,4
312,6702,2,105,0,0,47.16,54.5,58.1,61.29,NA,NA,1,2
313,6756,2,105,0,0,36.64,37.82,39,43.23,33.27,29.65,2,1
314,1823,2,105,0,0,50.92,56.25,58.42,70.44,66.84,70.02,2,2
315,1602,2,105,0,1,47.94,60.65,62.91,65.16,NA,NA,2,NA
316,6281,2,106,0,1,43.2,52.12,47.71,NA,NA,NA,1,3
317,1629,2,106,0,1,46.33,49.42,43.5,51.02,58.74,NA,5,2
318,2453,2,106,0,1,39.23,51.06,52.86,NA,NA,NA,1,2
319,4431,2,106,0,1,42.81,62.27,63.1,71.44,75.04,78.64,1,2
320,2911,2,106,0,1,46.64,53.55,48.31,51.76,62.15,56.11,2,2
321,3743,2,106,0,1,45.38,51.51,43.35,53.38,NA,NA,2,2
322,4712,2,106,0,1,66.48,76.09,76.21,77.01,81,NA,4,5
323,1386,2,106,0,1,56.62,59.54,62.46,67.71,70.3,64.62,2,2
324,2207,2,106,0,0,50.4,63.57,72.91,77.09,80.18,80.56,2,2
325,5684,2,106,0,1,47.05,47.54,58.32,61.38,63.77,NA,1,2
326,3843,2,106,0,0,56.55,62.58,70.52,74.41,78.14,NA,2,2
327,5198,2,106,0,0,68.4,67.53,NA,NA,NA,NA,2,3
328,5397,2,106,0,1,58.42,62.61,66.8,75.02,75.43,77.1,3,3
329,2195,2,106,0,0,36.37,37.48,26.6,NA,NA,NA,1,1
330,4131,2,106,0,0,37.09,50.26,58.65,62.36,64.79,64.81,2,NA
331,2671,2,106,0,0,35.92,33.8,31.67,34.82,32.26,NA,2,3
332,6902,2,106,0,1,45.93,42.89,52.99,55.83,61.54,65,2,2
333,6862,2,106,0,0,61.07,65.22,70.56,75.9,81.11,81.12,2,2
334,6315,2,106,0,0,33.01,41.28,41.64,NA,NA,NA,1,3
335,5163,2,106,0,1,34.93,44.39,NA,NA,NA,NA,1,1
336,6891,2,106,0,0,54.36,50.16,57.31,61.49,NA,NA,2,NA
337,3768,2,106,0,0,46.89,NA,NA,56.59,57.41,45.75,1,1
338,6873,2,106,0,0,54.64,40.16,63.27,69.06,69.51,69.13,1,1
339,2793,2,106,0,1,44.95,44.56,42.22,41.76,47.01,52.25,2,1
340,2806,2,106,0,0,52.79,56.57,61.39,66.08,68.68,67.62,2,NA
341,1933,2,106,0,0,44.31,41.35,47.35,NA,NA,NA,3,NA
342,6124,2,106,0,0,58.03,53.1,60.74,NA,NA,NA,2,2
343,6295,2,106,0,0,34.81,33.81,43.33,45.81,48.29,NA,1,2
344,2127,2,106,0,1,51.52,58.06,57.82,NA,NA,NA,1,4
345,5288,2,106,0,0,58.29,62.57,68.87,73.2,76.13,NA,3,2
346,6643,2,106,0,1,NA,NA,NA,NA,NA,NA,2,2
347,1044,2,106,0,0,NA,38.22,NA,NA,NA,NA,3,1
348,6531,2,106,0,1,41.75,45.22,47.55,50.31,40.02,35.71,2,5
349,3165,2,106,0,0,35.73,33.49,29.33,47.62,38.59,NA,3,2
350,1006,2,106,0,0,35.79,NA,NA,NA,NA,NA,1,5
