1	3819	2	101	0	0	59.69	69.34	71.93	71.55	74.15	79.18	2	2
2	5881	2	101	0	0	55.29	61.71	60.1	59.38	59.84	64.89	2	2
3	1435	2	101	0	1	59.85	61.95	66.5	69.33	75.79	77.7	3	4
4	5278	2	101	0	1	52.5	60.92	68	68.02	73.85	73.3	2	2
5	6693	2	101	0	1	65.09	58.8	62.45	66.1	73.94	74.74	2	4
6	4294	2	101	0	1	56.47	58.53	57.14	55.76	57.67	63.45	2	2
7	1194	2	101	0	1	58.5	69.76	68.91	68.05	.	.	2	2
8	5682	2	101	0	1	59.39	59.65	64.33	61.41	65.82	61.57	4	5
9	6485	2	101	0	0	50.88	46.12	50.63	55.14	.	.	2	2
10	4938	2	101	0	0	72.72	71.19	73.46	78.06	.	.	3	4
11	2630	2	101	0	1	49.53	58.05	59.7	61.41	65.22	67.5	3	2
12	6080	2	101	0	1	50.21	49.96	53.22	64.61	65.32	68.03	3	2
13	1730	2	101	0	1	52.13	58.22	61.13	66.54	65.25	62.35	2	1
14	5280	2	101	0	1	46.7	49.73	61.37	66.54	64.78	62.48	2	3
15	2204	2	101	0	1	63.32	62.04	62.02	61.99	.	.	2	3
16	6715	2	101	0	1	47.52	58.92	63.86	63.28	65.43	63.39	2	1
17	1442	2	101	0	1	54.93	62.02	65.3	67.64	.	.	2	2
18	6821	2	101	0	0	45.82	.	.	44.96	44.05	43.73	3	2
19	2041	2	101	0	0	46.47	44.91	51.14	51.51	57.91	57.95	1	1
20	4888	2	101	0	0	72.12	74.12	78.83	80.23	84.22	88.2	2	2
21	3329	2	101	0	0	47.24	51.64	56.04	58.55	60.35	58.34	2	2
22	1915	2	101	0	1	52.19	55.6	62.36	65.39	68.42	69.41	2	2
23	4768	2	101	0	1	53.65	54.25	54.84	56.35	60.83	58.44	2	2
24	6611	2	101	0	1	64.52	64.01	65.36	62.21	71.76	70.18	2	2
25	6800	2	101	0	1	49.84	54.9	63.78	61.5	59.56	64.31	1	4
26	1840	2	101	0	0	44.1	39.47	47.9	50.94	51.4	.	2	2
27	6469	2	101	0	0	44.85	47.1	56.3	52.2	60.37	57.81	1	2
28	6115	2	101	0	1	44.33	39.1	43.95	50.81	48.15	.	5	2
29	5593	2	101	0	1	37.37	40.21	43.51	48.22	52.92	53	2	5
30	3803	2	101	0	1	40.04	39.43	38.82	48.31	57.8	.	2	1
31	4168	2	101	0	0	52.05	56.05	56.99	48.57	60.7	56.91	2	.
